Год,Месяц,Пост,Вещество,Количество,Qsr,Sigma,Qmax
2002,1,3,Взвешенные вещества,72,0.057,0,0.2
2002,2,3,Взвешенные вещества,68,0.066,0,0.3
2002,3,3,Взвешенные вещества,75,0.128,1,0.7
2002,4,3,Взвешенные вещества,78,0.151,0,0.5
2002,5,3,Взвешенные вещества,72,0.094,0,0.3
2002,6,3,Взвешенные вещества,72,0.096,0,0.3
2002,7,3,Взвешенные вещества,81,0.174,0,0.4
2002,8,3,Взвешенные вещества,81,0.109,0,0.5
2002,9,3,Взвешенные вещества,75,0.109,0,0.5
2002,10,3,Взвешенные вещества,81,0.067,0,0.3
2002,11,3,Взвешенные вещества,75,0.067,0,0.2
2002,12,3,Взвешенные вещества,67,0.075,0,0.2
2002,-1,3,Взвешенные вещества,897,0.101,0.1,0.7
2002,1,15,Взвешенные вещества,72,0.056,0,0.2
2002,2,15,Взвешенные вещества,67,0.066,0,0.3
2002,3,15,Взвешенные вещества,75,0.117,0,0.5
2002,4,15,Взвешенные вещества,78,0.105,0,0.5
2002,5,15,Взвешенные вещества,72,0.072,0,0.3
2002,6,15,Взвешенные вещества,72,0.088,0,0.2
2002,7,15,Взвешенные вещества,81,0.136,0,0.3
2002,8,15,Взвешенные вещества,81,0.07,0,0.2
2002,9,15,Взвешенные вещества,75,0.063,0,0.3
2002,10,15,Взвешенные вещества,81,0.052,0,0.2
2002,11,15,Взвешенные вещества,75,0.053,0,0.2
2002,12,15,Взвешенные вещества,73,0.055,0,0.2
2002,-1,15,Взвешенные вещества,902,0.078,0,0.5
2002,1,17,Взвешенные вещества,-1,-1,-1,-1
2002,2,17,Взвешенные вещества,-1,-1,-1,-1
2002,3,17,Взвешенные вещества,57,0.146,0,0.4
2002,4,17,Взвешенные вещества,78,0.121,0,0.4
2002,5,17,Взвешенные вещества,48,0.071,0,0.2
2002,6,17,Взвешенные вещества,72,0.088,0,0.2
2002,7,17,Взвешенные вещества,55,0.146,0,0.3
2002,8,17,Взвешенные вещества,68,0.094,0,0.4
2002,9,17,Взвешенные вещества,75,0.088,0,0.4
2002,10,17,Взвешенные вещества,81,0.061,0,0.2
2002,11,17,Взвешенные вещества,75,0.052,0,0.2
2002,12,17,Взвешенные вещества,73,0.067,0,0.3
2002,-1,17,Взвешенные вещества,682,0.091,0,0.4
2002,1,18,Взвешенные вещества,72,0.069,0,0.3
2002,2,18,Взвешенные вещества,65,0.074,0,0.3
2002,3,18,Взвешенные вещества,75,0.151,1,0.6
2002,4,18,Взвешенные вещества,78,0.164,1,0.6
2002,5,18,Взвешенные вещества,71,0.087,0,0.4
2002,6,18,Взвешенные вещества,72,0.126,0,0.5
2002,7,18,Взвешенные вещества,81,0.186,0,0.5
2002,8,18,Взвешенные вещества,81,0.127,0,0.3
2002,9,18,Взвешенные вещества,75,0.125,0,0.5
2002,10,18,Взвешенные вещества,80,0.083,0,0.3
2002,11,18,Взвешенные вещества,75,0.068,0,0.2
2002,12,18,Взвешенные вещества,73,0.09,0,0.3
2002,-1,18,Взвешенные вещества,898,0.114,0.2,0.6
2002,1,36,Взвешенные вещества,48,0.069,0,0.2
2002,2,36,Взвешенные вещества,44,0.074,0,0.3
2002,3,36,Взвешенные вещества,50,0.15,2,0.6
2002,4,36,Взвешенные вещества,52,0.171,2,1.2
2002,5,36,Взвешенные вещества,48,0.094,0,0.5
2002,6,36,Взвешенные вещества,48,0.129,0,0.5
2002,7,36,Взвешенные вещества,54,0.169,0,0.4
2002,8,36,Взвешенные вещества,53,0.113,0,0.3
2002,9,36,Взвешенные вещества,50,0.128,2,0.6
2002,10,36,Взвешенные вещества,54,0.072,0,0.2
2002,11,36,Взвешенные вещества,49,0.069,0,0.2
2002,12,36,Взвешенные вещества,49,0.078,0,0.2
2002,-1,36,Взвешенные вещества,599,0.112,0.5,1.2
2002,1,-1,Взвешенные вещества,264,0.062,0,0.3
2002,2,-1,Взвешенные вещества,244,0.073,0,0.5
2002,3,-1,Взвешенные вещества,332,0.137,1,0.7
2002,4,-1,Взвешенные вещества,364,0.14,0.5,1.2
2002,5,-1,Взвешенные вещества,311,0.084,0,0.5
2002,6,-1,Взвешенные вещества,336,0.104,0,0.5
2002,7,-1,Взвешенные вещества,352,0.163,0,0.5
2002,8,-1,Взвешенные вещества,364,0.102,0,0.4
2002,9,-1,Взвешенные вещества,350,0.101,0.3,0.6
2002,10,-1,Взвешенные вещества,377,0.066,0,0.3
2002,11,-1,Взвешенные вещества,349,0.061,0,0.2
2002,12,-1,Взвешенные вещества,335,0.073,0,0.3
2002,-1,-1,Взвешенные вещества,3978,0.099,0.2,1.2
2002,1,3,Диоксид серы,72,0.002,0,0.004
2002,2,3,Диоксид серы,68,0.002,0,0.005
2002,3,3,Диоксид серы,75,0.002,0,0.005
2002,4,3,Диоксид серы,78,0.002,0,0.006
2002,5,3,Диоксид серы,72,0.002,0,0.005
2002,6,3,Диоксид серы,72,0.002,0,0.006
2002,7,3,Диоксид серы,81,0.002,0,0.005
2002,8,3,Диоксид серы,81,0.002,0,0.007
2002,9,3,Диоксид серы,75,0.002,0,0.005
2002,10,3,Диоксид серы,81,0.002,0,0.005
2002,11,3,Диоксид серы,75,0.001,0,0.005
2002,12,3,Диоксид серы,67,0.002,0,0.004
2002,-1,3,Диоксид серы,897,0.002,0,0.007
2002,1,15,Диоксид серы,72,0.002,0,0.005
2002,2,15,Диоксид серы,67,0.001,0,0.005
2002,3,15,Диоксид серы,75,0.002,0,0.006
2002,4,15,Диоксид серы,78,0.002,0,0.006
2002,5,15,Диоксид серы,72,0.002,0,0.006
2002,6,15,Диоксид серы,72,0.002,0,0.006
2002,7,15,Диоксид серы,81,0.002,0,0.008
2002,8,15,Диоксид серы,81,0.002,0,0.008
2002,9,15,Диоксид серы,75,0.001,0,0.005
2002,10,15,Диоксид серы,81,0.001,0,0.003
2002,11,15,Диоксид серы,75,0.001,0,0.003
2002,12,15,Диоксид серы,73,0.001,0,0.005
2002,-1,15,Диоксид серы,902,0.002,0,0.008
2002,1,17,Диоксид серы,-1,-1,-1,-1
2002,2,17,Диоксид серы,-1,-1,-1,-1
2002,3,17,Диоксид серы,57,0.002,0,0.006
2002,4,17,Диоксид серы,78,0.002,0,0.006
2002,5,17,Диоксид серы,48,0.002,0,0.005
2002,6,17,Диоксид серы,58,0.002,0,0.006
2002,7,17,Диоксид серы,55,0.004,0,0.006
2002,8,17,Диоксид серы,71,0.003,0,0.008
2002,9,17,Диоксид серы,75,0.002,0,0.005
